Judul,Author,Genre,Year,Rating
Akuntansi Manajemen,Kamaruddin Ahmad,Akuntansi Manajemen,2013.0,4.8
Manajemen Kinerja,"Hery, S.e., Msi., Crp., Rsa., Cfrm.",Manajemen Kinerja,2019.0,5.0
Manajemen Operasi,"Dr. Gatot Nazir Ahmad, M.Si.",Manajemen Operasi,2022.0,4.9
Manajemen Kinerja,"Dr. Alexander Thian, M.Si.",Manajemen Kinerja,2022.0,5.0
Manajemen Perbankan,"Dr. Alexander Thian, M.Si.",Manajemen Bisnis,2021.0,5.0
Prinsip2 Manajemen,George R.terry,Manajemen,2016.0,4.9
Manajemen Kinerja,HERY S.E. M.SI. CRP. RSA. CFRM.,Manajemen Kinerja,2019.0,5.0
Manajemen Pemasaran,"Hery, S.E., M.Si., CRP., RSA., CFRM.",Manajemen Pemasaran,2019.0,5.0
Akuntansi Manajemen Edisi 2,"Prof. Dr. Dermawan Sjahrial, Djahotman Pudba, Gunawan",Akuntansi Manajemen,2022.0,4.5
Manajemen Keuangan Perusahaan Dilengkapi Soal dan Penyelesaian Edisi 2,Dr J.p Sitanggang,Manajemen Keuangan,2014.0,5.0
Manajemen Pemasaran,Prof. Dr. Thamrin Abdullah,Manajemen Pemasaran,2015.0,5.0
Manajemen Kinerja & Motivasi Karyawan Edisi 3 : Manajemen SDM,Suyadi Prawirosentono,Manajemen Kinerja,2015.0,4.5
Manajemen Waktu Dalam Islam (Edisi Revisi),Syekh Yusuf Qardhawi,Manajemen Waktu,2021.0,5.0
Manajemen Sumber Daya Manusia Edisi 10 Jil. 1,Gary Dessler,Manajemen Sumber Daya Manusia,2010.0,4.7
Manajemen Perkantoran,"DR. RR. IDA NURAIDA S.E.,M.M",Manajemen Perkantoran,2021.0,5.0
Manajemen Perbankan,Herman Darmawi,Manajemen Keuangan,2018.0,5.0
Manajemen Operasi,"Dr.Gatot Nazir Ahmad,M.S.i.",Manajemen Operasi,2018.0,4.9
Manajemen E-Commerce,Rakhmat Makmur,Manajemen Bisnis,2018.0,5.0
Asas Manajemen,Usman Effendi,Dasar Manajemen,2014.0,4.8
Manajemen Agribisnis,Muhammad Firdaus,Manajemen Bisnis,2017.0,4.9
Pengantar Manajemen,SENTO IMAM WAHJONO,Pengantar Manajemen,2018.0,4.0
Pengantar Manajemen Keuangan Edisi Kedua,Kasmir,Pengantar Manajemen,2016.0,4.9
Manajemen Risiko 1,Ikatan Bankir Indinesia,Manajemen Risiko,2015.0,4.7
Manajemen Edisi 2,T. Hani Handoko,Manajemen,2018.0,4.8
Manajemen Pemasaran Edisi 3,Prof. DR. Ir Nandan L,Manajemen Pemasaran,2019.0,5.0
Manajemen Keuangan,Harmono,Manajemen Keuangan,2022.0,5.0
Manajemen Stratejik,Sondang,Manajemen Strategi,2019.0,5.0
Manajemen Keuangan,Musthafa,Manajemen Keuangan,2017.0,4.7
Manajemen Transportasi,Abbas Salim,Manajemen Transportasi,2019.0,4.0
Manajemen Strategis,Eddy Yunus,Manajemen Strategi,2023.0,5.0
Manajemen Dasar Pengertian & Masalah E-Rev,Malayu,Manajemen,2024.0,4.0
Pengantar Ekonomi & Bisnis Global Edisi 3 : Manajemen Keuangan Internasional,Mudrajad Kuncoro,Pengantar Manajemen,2017.0,5.0
Manajemen Keuangan Perusahaan Modern Edisi 2,"Dr.Sulaeman Rahman Nidar, SE., MBA",Manajemen Keuangan,2016.0,5.0
Manajemen Keuangan Internasional Edisi 5,"PROF. DR. HAMDY HADY, DEA.",Manajemen Keuangan,2020.0,4.6
Manajemen Public Relations & Media Komunikasi Edisi Revisi,Rosady,Manajemen Komunikasi,2022.0,4.8
Manajemen Halal,"DR. A. ILYAS, M.A",Manajemen Bisnis,2021.0,5.0
Manajemen Ziswaf,"Neneng Nurhasanah, Udin Saripudin, Nandang Ihwanudin, Ridha Taufiq Rahman",Manajemen Keuangan,2023.0,5.0
Manajemen Pendidikan,FURTASAN,Manajemen Pendidikan,2018.0,5.0
Proyek Ipas Rump. Bisnis & Manajemen Smk Kls.10/Km,"DWI HARTI, DKK",Manajemen Proyek,2022.0,5.0
Akuntansi Manajemen,Krismiaji,Akuntansi Manajemen,2011.0,4.9
Manajemen Strategis,Abdul Rivai & Darsono Prawironegoro,Manajemen Strategi,2015.0,5.0
Ilmu Manajemen,"PROF.DR.INU KENCANA SYAFIIE, M.SI",Manajemen Umum,2019.0,3.0
POD:MANAJEMEN LOGISTIK (EDISI REVISI),Ricky Virona Martono,Manajemen Logistik,2018.0,4.8
Manajemen Pemasaran,"Prof. Dr. Nembah Fhilip Hartimbul Ginting, S.E., S.H., M.M.",Manajemen Pemasaran,2023.0,4.9
Manajemen Keuangan (Edisi Revisi Kedua),"Prof.Dr. Kamaludin, S.E., M.M.Dr. Rini Indriani, S.E., M.Si., Ak., Ca.",Manajemen Keuangan,2022.0,5.0
Manajemen Kinerja Edisi Kelima,"Prof.Dr.Wibowo, S.E.,M.Phil.",Manajemen Kinerja,2017.0,5.0
MANAJEMEN PROYEK,"Dr. Darmawan, M.A.B., CFRM.",Manajemen Proyek,2023.0,5.0
"Manajemen Keperawatan: Aplikasi dalam Praktik Keperawatan Profesional, Edisi 4",Nursalam,Manajemen Keperawatan,2020.0,5.0
Pengantar Manajemen Edisi-1,Ernie Tisnawati Sule,Pengantar Manajemen,2016.0,4.7
"Manajemen Keperawatan: Aplikasi dalam Praktik Keperawatan Profesional, Edisi 6",Nursalam,Manajemen Keperawatan,2022.0,5.0
Manajemen Perkotaan,"Prof Dr. Achmad Nurmandi, M.Sc",Manajemen Kota,2022.0,5.0
Intisari Manajemen Pemasaran Edisi Keenam,Kotler keller,Manajemen Pemasaran,2022.0,5.0
Manajemen Keuangan International Edisi 3,"Dr.Mamduh M.Hanafi,Mba",Manajemen Keuangan,2019.0,4.7
Manajemen Kurikulum Edisi Kedua,"Dr. Rusman, M.pd.",Manajemen Pendidikan,2020.0,5.0
"Manajemen Keperawatan: Aplikasi dalam Praktik Keperawatan Profesional, Edisi 5",Nursalam,Manajemen Keperawatan,2018.0,5.0
Manajemen Perubahan Edisi 3,Wibowo,Manajemen Perubahan,2016.0,5.0
Manajemen Produksi Modern Buku 1 Edisi 3 Operasi Manufaktur & Jasa,Mahfud Nurnajamuddin,Manajemen Produksi,2022.0,5.0
Manajemen Perbankan,"HERY, S.E , M. SI., CRP",Manajemen Perbankan,2021.0,5.0
Manajemen Proyek Berbasis Teknologi Informasi Edisi 3 +Cd,"Dr. Imam Heryanto, S.Si., M.M,",Manajemen Proyek,2023.0,5.0
Manajemen Keuangan Lanjutan Edisi Revisi,Prof.Dr.Dermawan Sjahrial Mm,Manajemen Keuangan,2014.0,4.8
Manajemen Keuangan,"PROF. DR. HAMIDAH, SE.,M.SI.",Manajemen Keuangan,2019.0,5.0
Manajemen Keuangan,Fandy Tjiptono & Anastasia Diana,Manajemen Keuangan,2022.0,5.0
Manajemen Kinerja,LIJAN POLTAK SINAMBELA & SARTON SINAMBELA,Manajemen Kinerja,2019.0,5.0
Buku Sakti Manager & Supervisor,Kim Minjeong,Manajemen,2023.0,4.8
Management,Peter F. Drucker,Manajemen,2012.0,4.6
Management Rev Ed,Peter F. Drucker,Manajemen,2018.0,4.6
Sistem Informasi Manajemen Edisi Terbaru,Jane Sekarsari T,Sistem Informasi Manajemen,2018.0,5.0
Manajemen Risiko,Soehatman Ramli,Manajemen Risiko,2011.0,4.8
Manajemen Resiko,Setia Mulyawan,Manajemen Risiko,2015.0,5.0
Sistem Informasi Manajemen Edisi 2,Ais Zakiyudin,Sistem Informasi Manajemen,2012.0,5.0
Manajemen Kualitas Jasa Edisi 2,Tony Wijaya,Manajemen Layanan,2018.0,4.7
Pengantar Manajemen,Ismail Solihin,Manajemen Bisnis,2011.0,4.1
"Manajemen: Manajemen Risiko, Prinsip Manajemen, Perencanaan, Akuntansi Manajemen, Tata Kelola Perusahaan, Kepuasan Kerja, Kaizen",Source Wikipedia,Akuntansi Manajemen,2011.0,5.0
Dasar-Dasar Manajemen Keuangan Perusahaan (Jilid 2),Richard A. Brealey,Manajemen Keuangan,2020.0,4.06
Manajemen Keuangan Multinasional - Jilid 1,David K. Eiteman,Manajemen Keuangan,2010.0,3.73
Manajemen Keuangan Multinasional - Jilid 2,"David K. Eiteman
Arthur I. Stonehill
Michael H. Moffett",Manajemen Keuangan,2011.0,3.9
Manajemen Keuangan,Musthafa,Manajemen Keuangan,2017.0,3.0
"Manajemen Dasar, Pengertian dan Masalah",Malayu S.P. Hasibuan,Manajemen,2015.0,4.01
Manajemen Proyek,Iman Soeharto,Manajemen Proyek,2017.0,4.2
Pengantar Manajemen,Ismail Solihin,Pengantar Manajemen,2011.0,4.08
Manajemen Pemasaran - Jilid 1,Philip Kotler,Manajemen Pemasaran,2010.0,4.25
Manajemen Pemasaran - Jilid 1,Philip Kotler,Manajemen Pemasaran,2019.0,4.25
"Manajemen Berbasis Sekolah: Konsep, Strategi, Dan Implementasi",E. Mulyasa,Manajemen,2002.0,3.97
Manajemen Aset,Doli D. Siregar,Manajemen Aset,2004.0,4.07
Manajemen Waktu,M. Ahmad Abdul Jawwad,Manajemen Waktu,2004.0,3.86
Manajemen Pemasaran - Jilid 2,"Philip Kotler,Kevin Lane Keller",Manajemen Pemasaran,2010.0,4.38
Manajemen Proyek,Abrar Husen,Manajemen Proyek,2019.0,4.51
Manajemen Strategik,Ismail Solihin,Manajemen Strategi,2011.0,4.51
Manajemen Jilid 1,"Stephen P. Robbins,Mary A. Coulter,T. Hermaya",Manajemen,2020.0,3.74
Asas-Asas Manajemen,Ulbert Silalahi,Manajemen,2011.0,4.19
Dasar-Dasar Manajemen Keuangan Perusahaan (Jilid 2),"Richard A. Brealey, Stewart C. Myers,Alan J. Marcus",Manajemen Keuangan,2019.0,4.06
Psikologi Manajemen,"Harold J. Leavitt,Muslichah Zarkasi",Manajemen Organisasi,2021.0,3.76
Manajemen Kinerja,Dermawan Wibisono,Manajemen Kinerja,2017.0,4.35
Manajemen Keuangan Multinasional - Jilid 1,"David K. Eiteman, Arthur I. Stonehill, Michael H. Moffett",Manajemen Keuangan,2010.0,3.73
Profesi Manajemen,Tanri Abeng,Manajemen Organisasi,2016.0,3.94
Dimensi Manajemen Pendidikan Islam,Mujamil Qomar,Manajemen,2015.0,4.38
Manajemen Kematian,Khozin Abu Faqih,Manajemen Waktu,2019.0,4.05
Manajemen Operasi,H.A. Rusdiana,Manajemen Operasional,2018.0,4.5
Manajemen Konflik,M. Ahmad Abdul Jawwad,Manajemen Konflik,2017.0,4.67
Asas Manajemen,Usman Effendi,Manajemen,2015.0,5.0
Manajemen Jilid 2,"Stephen P. Robbins,Mary A. Coulter",Manajemen,2016.0,4.0
Manajemen Keperawatan,"Suarli, Yanyan Bahtiar",Manajemen Operasional,2020.0,5.0
Manajemen Peralatan,David A. Lasse,Manajemen Operasional,2015.0,4.5
Manajemen Sekuriti,A. Handoyo,Manajemen Keamanan,2016.0,3.0
Manajemen Cinta,Syaikh Ath-Thontowi,Manajemen Hubungan,2017.0,4.0
manajemen,puataka,Manajemen,2010.0,5.0
Pengantar Manajemen,Dian Wijayanto,Manajemen Umum,2011.0,4.0
Akuntansi Manajemen,Kamaruddin Ahmad,Akuntansi Manajemen,2017.0,5.0
Akuntansi Manajemen,Krismiaji,Akuntansi Manajemen,2010.0,5.0
Pengantar Akuntansi Manajemen Jilid 1 Edisi Ke 16,Horngren Dkk,Akuntansi Manajemen,2020.0,5.0
Akuntansi Manajemen Edisi 2,Krismiaji,Akuntansi Manajemen,2017.0,5.0
Manajemen Keuangan - Konsep Dasar Dan Penerapan Edisi Revisi,Dr Kamaludin,Manajemen Keuangan,2022.0,3.0
Manajemen Keuangan Multinasional Edisi 11 Jilid 1,David K,Manajemen Keuangan,2020.0,4.8
Buku Ajar Manajemen Keperawatan,Candra Syah Putra,Manajemen Layanan Kesehatan,2024.0,5.0
Manajemen Produksi Modern Operasi Manufaktur dan Jasa Buku 2,Murdifin Harming,Manajemen Produksi,2022.0,5.0
Dasar-dasar Manajemen Sediaan: Dari Gudang ke Pusat Distribusi,J. David Viale  J. David Viale,Manajemen Persediaan,2014.0,5.0
Praktikum Manajemen Keuangan 1 Berbasis IFRS,David Wijaya,Manajemen Keuangan,2016.0,5.0
Manajemen Pendidikan Inklusif Sekolah Dasar,"David Wijaya, S.E., M.M.",Manajemen Pendidikan,2019.0,5.0
Buku Pintar Manajemen Dan Kerja Sama Tim,Indriyana Rachmawati,Manajemen Tim,2018.0,5.0
Buku Pintar Manajemen Pajak,"Indra Mahardika Putra, S.E., Ak., M.Ak.",Manajemen Pajak,2019.0,5.0
Buku Ajar Manajemen Rekam Medis Pada Fasilitas Pelayanan Kesehatan,TEGAR WAHYU YUDHA PRATAMA,Manajemen Kesehatan,2021.0,5.0
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2017.0,4.6
Buku Ajar Manajemen Keperawatan,Agus Kuntoro,Manajemen Keperawatan,2019.0,5.0
MANAJEMEN MEREK DAN STRATEGI E-COMMERCE: Pendekatan Praktis,"Dr. David Sukardi Kodrat, M.M., CPM.",Manajemen Bisnis,2021.0,4.8
Pod:Quantity Surveying: Pengantar Manajemen Biaya Dan Kontra,Seng Hansen,Manajemen Biaya,2017.0,3.5
Buku Ajar Manajemen Perbankan Syariah,Gita Danupranata,Manajemen Bisnis,2022.0,5.0
Buku Ajar Manajemen Pemasaran Islam,"Tati Handayani, S.E., M.M. Muhammad Anwar Fathoni, Lc., M.A.",Manajemen Pemasaran,2019.0,4.9
Buku Ajar Manajemen Keselamatan Pasien Single Edition,"Irwan Hadi, Ners.M.Kep.",Manajemen Kesehatan,2016.0,5.0
Akuntansi Manajemen: Informasi Biaya Untuk Mengendalikan Aktivitas Operasi & Investasi,"L. M. Samryn, S.E., Ak., M.M., CA. None",Akuntansi Manajemen,2015.0,5.0
Buku Ajar MANAJEMEN PEMASARAN DI ERA MASYARAKAT INDUSTRI 4.0,"Dr. Achmad Rizal, S.Pi., M.Si.",Manajemen Pemasaran,2020.0,4.4
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2017.0,4.0
Manajemen Personalia Edisi Ketiga / Personnel Management,"Gary Dessler,Agus Dharma, SH",Manajemen Sumber Daya Manusia,2018.0,4.0
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2016.0,4.0
Buku Ajar KSH323 Manajemen Kawasan Konservasi,"Harnios Arif, Tutut Sunarminto",Manajemen Lingkungan,2017.0,3.0
Pengantar Ilmu Manajemen,"Dr. Saryanto, S.Pd.T., M.Pd.",Manajemen Umum,2023.0,4.8
Manajemen Penanggulangan Bencana,"Dr. I. Khambali, S.T., MPPM.",Manajemen Risiko,2017.0,4.9
Asas-asas Manajemen,"Dr. Ulber Silalahi, M.A. REFIKA ADITAMA",Manajemen Umum,2018.0,5.0
Pengantar Manajemen Keuangan,Kasmir Se,Manajemen Keuangan,2016.0,5.0
Pengantar Manajemen Teori dan Kasus,Sudaryono,Manajemen Umum,2017.0,3.4
Asas-Asas Manajemen,Ulber Silalahi,Manajemen Umum,2012.0,5.0
Manajemen Investasi dan Portofolio,"Dr. Darmawan, M.A.B., CFRM.",Manajemen Keuangan,2023.0,3.0
Pengantar Manajemen : Panduan Pengelolaan Organisasi di Era Digital,"Prof. Dr. H. Suwatno, M.Si., Dr. R. Rina Novianty Ariawaty, S.E., M.P. CHRM., Dr. Hj. Nani Imaniyati, M.Si.",Manajemen Umum,2022.0,4.8
Ekonomi Manajemen : Ekonomi Manajerial,"Intan Oktaviani S.Kom.,M.Kom, Dan Rizki Pujiyanto S.E., M.M",Manajemen Keuangan,2023.0,5.0
Pengantar Manajemen (3 In 1) Untuk Mahasiswa Dan Umum,Andru Feriyanto Dkk,Manajemen Umum,2015.0,5.0
Dasar-Dasar Manajemen,Sukarna,Manajemen Umum,2011.0,5.0
Manajemen Konflik Dan Stres Dalam Organisasi,Dr. Wahyudi,Manajemen Konflik,2019.0,4.9
Cara Cepat dan Mudah Memahami Pengantar Manajemen Ed.2,"Hery, S.e., M.si., Rsa., Crp.",Manajemen Umum,2017.0,5.0
Dasar-Dasar Ilmu Manajemen: Pengantar Menguasai Ilmu Manajem,ERNA NOVITASARI,Manajemen Umum,2020.0,4.6
Pengantar Dasar Ilmu Manajemen,Muhammad Anwar H.m,Manajemen Umum,2020.0,5.0
Manajemen Rumah Sakit,"PROF. Dr. dr. ANIES, M.Kes, PKK  Prof. Dr. Dr. Anies, M.kes,pkk",Manajemen Rumah Sakit,2023.0,4.9
Manajemen Strategis Sektor Publik,"Dr. H. Hardiyansyah, M.Si. & Dr. H. Lin Yan Syah, M.Si. & Dr. Dina Mellita, M.Ec.",Manajemen Strategi,2019.0,5.0
Sistem Informasi Manajemen Kontemporer Di Era Digital,"PROF. DR. IR. EDDY JUSUF, SP., M.SI., M.KOM.",Manajemen Informasi,2019.0,4.8
Manajemen Pemasaran Indonesia,DR. Eva Zhoriva Yusuf,Manajemen Pemasaran,2017.0,5.0
Manajemen Risiko Pengadaan Pemerintah,DR Wawan Zulmawan,Manajemen Risiko,2019.0,5.0
Sistem Informasi Manajemen,Dr Deni Darmawan,Manajemen Pendidikan,2013.0,4.4
Manajemen Pengantar Ed Revisi,Agus S,Manajemen Pengantar,2019.0,4.8
Pengantar Manajemen Pajak,"Indra Mahardika Putra, Se. Ak, M. Ak",Manajemen Keuangan,2023.0,5.0
Pengantar Manajemen Bisnis,"DR. BAMBANG SURYANTO, M.M., PH.D. & DRS. DARYANTO",Manajemen Bisnis,2019.0,4.8
Pengantar Manajemen Pendidikan,"Noer Rohmah,m.pd.i, Zaenal Fanani, M.pd.i",Manajemen Pengantar,2017.0,5.0
Pengantar Metodologi Penelitian: Pendekatan Manajemen Pengetahuan untuk Perkembangan Pengetahuan,Prof. Dr. Kris H. Timotius,Manajemen Penelitian,2017.0,4.7
Manajemen Penilaian Kinerja Karyawan (Edisi Revisi),"DR. BAMBANG SURYANTO, M.M., PH.D. & DRS. DARYANTO",Manajemen Sumber Daya Manusia,2021.0,5.0
Manajemen Pendidikan Karakter,"Ngalimun, M.Pd., M.I. Kom",Manajemen Pendidikan,2022.0,5.0
Manajemen Koperasi Simpan Pinjam,Dr.ahmad Subagyo,Manajemen Bisnis,2014.0,4.5
"Pengantar Manajemen: Fungsi, Proses, Pengendalian","Amirullah, S.E., M.M.",Manajemen Umum,2015.0,5.0
Manajemen Pemasaran Geowisata,"Dr. Ayu Krishna Yuliawati ,M.M Prof.Dr. Agus Rahayu, M.P.",Manajemen Pemasaran,2020.0,4.7
Manajemen Pembiayaan Pendidikan Konsep&Aplikasinya,Dr Matin,Manajemen Pendidikan,2014.0,5.0
Manajemen Mutu Terpadu : Total Quality Management,DR.H.TATANG IBRAHIM / DR.H.A.RUSDIANA,Manajemen Mutu,2021.0,4.9
"Manajemen Pemasaran, Teori Dan Implementasi",Dr.sudaryono,Manajemen Pemasaran,2016.0,5.0
Pengantar Manajemen (Siswanto),Siswanto,Pengantar Manajemen,2021.0,4.8
Manajemen Sumber Daya Manusia Edisi Revisi : Reformasi Birokrasi & Manajemen Pegawai Negeri Sipil,"Prof. Dr. Hj. Sedarmayanti, M.Pd., Apu.",Manajemen Sumber Daya Manusia,2017.0,5.0
Manajemen Komunikasi Bisnis,"Dr. Fajar Supanto, S.E., M.Si",Manajemen Komunikasi,2022.0,5.0
Manajemen Perguruan Tinggi,Prof. Dr. Syahrizal Abbas,Manajemen Pendidikan,2019.0,5.0
Pengantar Manajemen Syariah,Didin Hafidhuddin  Hendri Tanjung,Manajemen Keperawatan,2019.0,5.0
Operasi Strategi & Proses Manajemen,"PROF.DR.ACHMAD H.,DR.LENNY C.,PROF.DR.MASYHUDZULHAK D.",Manajemen Operasi,2019.0,5.0
Manajemen Risiko Keuangan Syariah,"Dr. Darmawan, M.A.B.",Manajemen Risiko,2022.0,5.0
Pengantar Manajemen Koperasi dan UMKM: Teori dan Aplikasi,"Dr. Marwan, S. Pd",Manajemen Koperasi,2022.0,4.9
Manajemen Kampanye Edisi Revisi,"Dr. Antar Venus, M.A",Ekonomi,2019.0,4.9
Akuntansi Manajemen Teori Dan Aplikasi,"SYAIFUL BAHRI, SE., M.SA.AKT,PROF. DR.  MUSLICHAH",Akuntansi Manajemen,2021.0,4.8
Manajemen Pendidikan Karakter,"Prof. Dr. H. E. Mulyasa, M.Pd.",Manajemen Pendidikan,2011.0,4.8
Manajemen Strategik Dan Bisnis,"DR. YANTO RAMLI, M.M.",Manajemen Strategi,2023.0,5.0
Manajemen Kompensasi,Dr M Kadarisman,Manajemen Sumber Daya Manusia,2012.0,5.0
Sistem Informasi Manajemen,Dr H A Rusdiana,Sistem Informasi Manajemen,2014.0,4.0
Pengantar Manajemen Keuangan,Kasmir,Manajemen Keuangan,2019.0,4.47
Mengapa Manajemen Diperlukan - Audiobook Indonesia,"H. Tokit Masditok, SE, MM",Manajemen Umum,2017.0,5.0
Akuntansi Manajemen Teori Dan Aplikasi,"SYAIFUL BAHRI, SE., M.SA.AKT,PROF. DR.  MUSLICHAH",Akuntansi Manajemen,2021.0,5.0
Mandarin Untuk Manajemen Perhotelan,"Destia iryanti,B.Ed.,MTCSOL Fauzi Adi Rafrastara, M.CS",Manajemen Perhotelan,2021.0,5.0
Manajemen Keuangan Untuk Perusahaan,Danang Sunyoto,Manajemen Keuangan,2015.0,4.7
Smk Ipa Bisnis & Manajemen X K-13 Revisi,Ruli Hidayat,Manajemen Pendidikan,2017.0,5.0
The Master Book Of Sun Tzu,Sun Tzu,Manajemen Strategi,2011.0,5.0
Good Corporate Governance dan Pengungkapan Enterprise Risk Management di Indonesia,"Citrawati Jatiningrum, S.E, M.Si, Ph.D,Dr. Abshor Marantika, S.E, M.Si, M.M",Manajemen Risiko,2021.0,5.0
The Secret of Wealth Management,Wealth Manager Association,Manajemen Investasi,2018.0,4.6
The Essence Of Operations Management,Pearson Education,Manajemen Operasional,2021.0,5.0
"GRC (Good Governance, Risk Management, And Compliance)",Robertus,Manajemen Risiko,2016.0,5.0
Change Management : Manajemen Perubahan,"Prof. Dr. Manahan P. Tampubolon, SE., MM",Manajemen Perubahan,2020.0,5.0
Manajemen Perubahan dalam Perspektif Islam,"Veithzal Rivai Zainal, dkk  Veithzal Rivai Zainal, Ma`mun Murod Al Barbasy, H.Rudihartono Ismail",Manajemen Isam,2023.0,5.0
Manajemen Inovasi. Peluang Sukses Menghadapi Perubahan,Wawan Dhewanto Dkk,Manajemen Bisnis,2014.0,4.9
Secrets Of Customer Relationship Management (Rahasia Manajemen Hubungan Pelanggan),James G.Barnes,Manajemen Pemasaran,2020.0,4.7
