Judul,Author,Genre,Year,Rating
Intisari Manajemen Pemasaran Edisi Keenam,Kotler keller,Manajemen Pemasaran,2022.0,5.0
Buku Ajar MANAJEMEN PEMASARAN DI ERA MASYARAKAT INDUSTRI 4.0,"Dr. Achmad Rizal, S.Pi., M.Si.",Manajemen Pemasaran,2020.0,4.4
Manajemen Perubahan Edisi 3,Wibowo,Manajemen Perubahan,2016.0,5.0
Islamic Marketing Management : Mengembangkan Bisnis Dengan Hijrah Ke Pemasaran Islami Mengikuti Praktik Rasulullah saw,"V. Rivai ,dkk",Manajemen Pemasaran,2017.0,5.0
Manajemen Pemasaran Analisis Perilaku Konsumen Ed 1,Basu Swastha,Manajemen Pemasaran,2018.0,4.6
Manajemen Pemasaran Pariwisata,"Ni Luh Henny Andayani, S.st. Par  Ni Luh Henny Andayani",Manajemen Pariwisata,2014.0,4.7
Manajemen Pemasaran Usaha Kecil,Satria Bangsawan,Manajemen Pemasaran,2012.0,4.5
Manajemen Pemasaran  & Pemasaran Jasa,H. Buchari Alma,Pemasaran Jasa,2015.0,4.08
Manajemen Pemasaran Jasa (Edisi 2),"Rambat Lupiyodi, A. Hamdani",Pemasaran Jasa,2010.0,4.13
Manajemen Pemasaran - Jilid 1,Philip Kotler,Manajemen Pemasaran,2010.0,4.25
Manajemen Pemasaran - Jilid 1,Philip Kotler,Manajemen Pemasaran,2019.0,4.25
Manajemen Keuangan Daerah,Kevin Lane Keller,Manajemen Keuangan,2015.0,4.15
Manajemen Pemasaran - Jilid 2,"Philip Kotler,Kevin Lane Keller",Manajemen Pemasaran,2010.0,4.38
Manajemen Jilid 1,"Stephen P. Robbins,Mary A. Coulter,T. Hermaya",Manajemen,2020.0,3.74
Manajemen Pemasaran Internasional,Jajat Kristanto,Manajemen Pemasaran,2010.0,4.43
Manajemen Kampanye,Antar Venus,Pemasaran,2019.0,5.0
Asas Manajemen,Usman Effendi,Manajemen,2015.0,5.0
Manajemen Jilid 2,"Stephen P. Robbins,Mary A. Coulter",Manajemen,2016.0,4.0
sari kuliah manajemen pemasaran,Daryanto,Pemasaran,2021.0,5.0
Manajemen Pemasaran,Philip Kotler,Pemasaran,2024.0,4.06
sari kuliah manajemen pemasaran,Daryanto,Pemasaran,2016.0,5.0
"Glosarium Prentice Hall, Manajemen dan Pemasaran",Benyamin Molan,Pemasaran,2022.0,4.67
"Glosarium Prentice Hall, Manajemen dan Pemasaran",Benyamin Molan,Pemasaran,2002.0,4.67
manajemen,puataka,Manajemen,2010.0,5.0
Manajemen Pemasaran  & Pemasaran Jasa,H. Buchari Alma,Pemasaran Jasa,2020.0,4.08
Manajemen Pemasaran Jasa (Edisi 2),"Rambat Lupiyodi, A. Hamdani",Pemasaran Jasa,2016.0,4.13
Manajemen Pemasaran - Jilid 1,"Philip Kotler, Kevin Lane Keller",Pemasaran,2016.0,4.25
Manajemen Pemasaran - Jilid 2,"Philip Kotler, Kevin Lane Keller",Pemasaran,2010.0,4.38
Prinsip Pemasaran,William J. Stanton,Pemasaran,2018.0,3.91
Prinsip-prinsip Pemasaran - Jilid 1,"Philip Kotler, Gary M. Armstrong",Strategi Pemasaran,2018.0,4.09
Manajemen Pemasaran,Philip Kotler,Strategi Pemasaran,2017.0,4.06
Pemasaran (Buku 1),"Charles W. Lamb Jr., Joseph F. Hair Jr., Carl D. McDaniel",Pemasaran,2016.0,3.5
Pemasaran di Sektor Publik,"Philip Kotler, Nancy R. Lee",Pemasaran,2019.0,3.9
Riset Pemasaran Edisi 4 Jilid 1,Naresh K. Malhotra,Pemasaran,2019.0,4.6
Pengantar Akuntansi Manajemen Jilid 1 Edisi Ke 16,Horngren Dkk,Akuntansi Manajemen,2020.0,5.0
Akuntansi Manajemen Edisi 2,Krismiaji,Akuntansi Manajemen,2017.0,5.0
Manajemen Pemasaran Farmasi,Sampurno,Pemasaran,2017.0,5.0
Manajemen Keuangan Multinasional Edisi 11 Jilid 1,David K,Manajemen Keuangan,2020.0,4.8
Manajemen Komunikasi Politik & Marketing Politik,"Agus Suyatno, S.Pd, M.M. dan Devita Putri Anjarsari, S.Kom,MM",Manajemen Komunikasi,2023.0,5.0
Manajemen Pengantar Ed Revisi,Agus S,Manajemen Pengantar,2019.0,4.8
36 kasus pemasaran asli Indonesia: Bermain dengan persepsi,"Ari Satriyo Wibowo, Ventura Elisawati, Hermawan Kartajaya",Pemasaran,2016.0,3.12
36 kasus pemasaran asli Indonesia: Bermain dengan persepsi,"Ari Satriyo Wibowo, Ventura Elisawati, Hermawan Kartajaya",Pemasaran,2018.0,3.12
Analisis Pemasaran Rumah Sakit,Boy S. Sabarguna,Pemasaran,2016.0,4.0
Citizen 4.0: Menjejakkan Prinsip-Prinsip Pemasaran Humanis Di Era Digital,Hermawan Kartajaya,Pemasaran,2018.0,3.69
Sinergi Komunikasi Pemasaran,Hifni Alffahmi,Pemasaran,2021.0,3.6
Kuasai Pemasaran Facebook,Azizan Osman,Pemasaran,2014.0,4.29
"Komunikasi Pemasaran, Strategi & taktik",Ilham Prigunanto,Pemasaran,2021.0,3.67
Pemasaran Gerila untuk Penulis,Jay Conrad Levinson,Pemasaran,2011.0,3.89
Aplikasi Riset Pemasaran,Istijanto,Pemasaran,2015.0,3.0
Penjelasan Pemikiran Konsep Pemasaran,Hermawan Kartajaya,Pemasaran,2010.0,4.0
Brand Hijack: Pemasaran Tanpa Pemasaran,"Alex Wipperfürth,Juni Prakoso",Strategi Pemasaran,2018.0,3.77
Pemasaran Buku di Indonesia,"J.B. Soedarmanto, P.D. Subagya",Pemasaran,2018.0,5.0
Memahami Pemasaran Digital,Damian Ryan,Pemasaran,2013.0,3.76
Strategi Pemasaran Cara Rasulullah S.A.W.,"Zen Abdul Rahman, Nur Thirah Syamsuddin",Pemasaran,2013.0,4.5
Pemasaran Duct Tape,John Jantsch,Pemasaran,2022.0,3.94
Buku Pintar Pemasaran,Sean McArthur,Pemasaran,2018.0,3.0
"Purple Cow: ""p"" terbaru dalam pemasaran",Seth Godin,Pemasaran,2022.0,3.78
Managing Business Process Flows (Prinsip-Prinsip Manajemen Operasi),"Ravi Anupindi, Sunil Chopra, Shudakar D Deshmukh, Jan A. Van Mieghem, Eitan Zemel  Ravi Anupindi, Sunil Chopra, Shudakar D Deshmukh, Jan A. Van Mieghem, Eitan Zemel",Manajemen Operasi,2011.0,5.0
Pemasaran Jasa Prinsip | Penerapan | Penelitian,Fandy Tjiptono,Pemasaran Jasa,2013.0,4.64
Manajemen Teori Dan Aplikasi,"Said Achmad Kabiru Rafiie, Se",Manajemen Umum,2018.0,5.0
Manajemen Komunikasi Pemasaran Terpadu,Sunarto Prayitno & Rudy Harjanto,Manajemen Pemasaran,2021.0,5.0
Manajemen Operasi Transportasi & Logistik,"Dr. Ir. Prasadja Ricardianto, MM",Manajemen Operasional,2022.0,5.0
Pengantar Manajemen Keuangan,Kasmir Se,Manajemen Keuangan,2016.0,5.0
Change Management : Manajemen Perubahan,"Prof. Dr. Manahan P. Tampubolon, SE., MM",Manajemen Perubahan,2020.0,5.0
Manajemen,"Dr.Mamduh M.Hanafi,Mba",Manajemen Umum,2022.0,5.0
Manajemen Pelatihan & Pengembangan Sumber Daya Manusia,"Bakti Sri Rahayu, S.Pd., SE., MM & Devita Putri Anjarsari S.Kom, MM",Manajemen Sumber Daya Manusia,2023.0,4.0
Manajemen Farmasi,"Yoga Dwi Saputra, M.Pharm. Sci., Apt.",Manajemen Farmasi,2022.0,5.0
Manajemen Keuangan,"Erna Chotidjah Suhatmi, SE.,M.Ak",Manajemen Keuangan,2023.0,5.0
Manajemen Risiko Perbankan Syariah,"Yuke Rahmawati, M.A.",Manajemen Risiko,2022.0,5.0
Pengendalian Akuntansi dan Manajemen,Yoshihiro To,Manajemen,2014.0,5.0
Sosiologi Manajemen,"Esti Dwi Rahmawati, S.E,M.M , dkk",Manajemen Umum,2023.0,5.0
Manajemen Risiko Dan Asuransi,"Drs. Danang Sunyoto, Sh., Se., Mm",Manajemen Risiko,2017.0,5.0
Pengantar Manajemen Pajak,"Indra Mahardika Putra, Se. Ak, M. Ak",Manajemen Keuangan,2023.0,5.0
Akuntansi Manajemen: Teori dan Aplikasi,Dwi Rachmina,Akuntansi Manajemen,2017.0,5.0
Manajemen Komunikasi Periklanan,"Prof. Dr. H. M. Maruf Abdullah, SH, MM, MSi",Manajemen Komunikasi,2017.0,4.5
Manajemen Dasar Pengertian & Masalah E-Rev,Malayu,Manajemen,2024.0,4.0
Manajemen Keuangan Lanjutan Edisi Revisi,Prof.Dr.Dermawan Sjahrial Mm,Manajemen Keuangan,2014.0,4.8
Manajemen Keuangan,"PROF. DR. HAMIDAH, SE.,M.SI.",Manajemen Keuangan,2019.0,5.0
Metodologi Penelitian Manajemen,"Esti Dwi Rahmawati SE.,MM.",Metodelogi Penelitian,2023.0,5.0
"Manajemen: Manajemen Risiko, Prinsip Manajemen, Perencanaan, Akuntansi Manajemen, Tata Kelola Perusahaan, Kepuasan Kerja, Kaizen",Source Wikipedia,Akuntansi Manajemen,2011.0,5.0
"Manajemen Dasar, Pengertian dan Masalah",Malayu S.P. Hasibuan,Manajemen,2015.0,4.01
Asas-Asas Manajemen,Ulbert Silalahi,Manajemen,2011.0,4.19
Dimensi Manajemen Pendidikan Islam,Mujamil Qomar,Manajemen,2015.0,4.38
Strategi bisnis: Marketing dan manajemen,A.M. Lilik Agung,Pemasaran,2019.0,4.0
Mengapa Manajemen Diperlukan - Audiobook Indonesia,"H. Tokit Masditok, SE, MM",Manajemen Umum,2017.0,5.0
Manajemen Marketing Perhotelan,"Agung Permana Budi, Inunk Nastiti",Pemasaran,2013.0,3.0
Manajemen Lembaga Keuangan Non-Bank,"Dr.Kuras Purba,S.E.,M.M.",Manajemen Keuangan,2019.0,4.9
Strategi Manajemen Risiko Bank,Ikatan Bankir Indonesia,Manajemen Risiko,2016.0,5.0
Manajemen Dana Bank Syariah,"Ikit, S.E., M.E.I.",Manajemen Keuangan,2018.0,5.0
Manajemen Kesehatan Bank Berbasis Risiko,Ikatan Bankir Indonesia,Manajemen Kesehatan,2016.0,4.8
Pengantar Manajemen,SENTO IMAM WAHJONO,Pengantar Manajemen,2018.0,4.0
Manajemen Landasan Pendidikan,"IMAM SIBAWEH, M.PD.",Manajemen Pendidikan,2023.0,4.7
Praktikum Manajemen Operasional,Imam Nuryanto dan Ida Farida,Manajemen Operasi,2017.0,5.0
Manajemen Proyek Berbasis Teknologi Informasi (Revisi Kedua),Imam Heryanto & Totok Triwibowo,Manajemen Proyek,2016.0,5.0
Manajemen Landasan Pendidikan,"IMAM SIBAWEH, M.PD.",Manajemen Pendidikan,2020.0,4.7
Manajemen Kelas: Teori dan Aplikasinya,Imam Gunawan,Manajemen Pendidikan,2019.0,4.8
Pengantar Bisnis & Manajemen Memulai Dan Mengelola Bisnis,sentot imam wahjono,Pengatar Bisnis,2023.0,5.0
Manajemen Proyek Berbasis Teknologi Informasi Edisi 3 +Cd,"Dr. Imam Heryanto, S.Si., M.M,",Manajemen Proyek,2023.0,5.0
Marketing Bank Syariah 4.0,Bambang Rianto Rustam,Pemasaran,2024.0,5.0
